Invoice No,Customer,Date,Amount,Status
INV-2025-0006,Ironwood Joinery,2025-01-06,3407.99,Open
INV-2025-0012,Gridline Electrical,2025-01-08,1734.25,Open
INV-2025-0015,Ironwood Joinery,2025-01-08,4953.99,Open
INV-2025-0001,Acme Interiors,2025-01-09,4656.00,Open
INV-2025-0005,Delta Fabrication,2025-01-12,8429.75,Open
INV-2025-0011,Maplewood Property,2025-01-12,5664.00,Open
INV-2025-0017,Lumen Marketing,2025-01-12,1289.00,Open
INV-2025-0002,Corewave Media,2025-01-13,1829.99,Open
INV-2025-0020,Harbor & Sons Plumbing,2025-01-14,6127.00,Open
INV-2025-0004,Acme Interiors,2025-01-19,638.00,Open
INV-2025-0010,Fernhill Landscaping,2025-01-19,4702.00,Open
INV-2025-0008,Juniper Design Co,2025-01-20,4707.00,Open
INV-2025-0016,Orchid Wellness,2025-01-25,6075.75,Open
INV-2025-0007,Lumen Marketing,2025-01-26,7023.00,Open
INV-2025-0018,Delta Fabrication,2025-01-27,4891.00,Open
INV-2025-0003,Orchid Wellness,2025-01-29,1574.75,Open
INV-2025-0014,Harbor & Sons Plumbing,2025-01-29,2195.50,Open
INV-2025-0009,Maplewood Property,2025-01-30,2765.99,Open
INV-2025-0013,Fernhill Landscaping,2025-02-02,4483.00,Open
INV-2025-0019,Delta Fabrication,2025-02-02,1804.50,Open
INV-2025-0035,Maplewood Property,2025-02-07,921.00,Open
INV-2025-0036,Kestrel Logistics,2025-02-09,2771.99,Open
INV-2025-0034,Corewave Media,2025-02-12,8498.50,Open
INV-2025-0028,Bluepeak Consulting,2025-02-13,3606.75,Open
INV-2025-0031,Corewave Media,2025-02-13,4190.99,Open
INV-2025-0026,Northbay Catering,2025-02-15,1066.00,Open
INV-2025-0021,Delta Fabrication,2025-02-16,4524.99,Open
INV-2025-0037,Juniper Design Co,2025-02-18,1190.50,Open
INV-2025-0024,Gridline Electrical,2025-02-19,4572.99,Open
INV-2025-0030,Gridline Electrical,2025-02-20,7667.00,Open
INV-2025-0032,Ironwood Joinery,2025-02-22,4454.99,Open
INV-2025-0033,Gridline Electrical,2025-02-23,6693.25,Open
INV-2025-0023,Corewave Media,2025-02-25,4160.00,Open
INV-2025-0022,Kestrel Logistics,2025-02-26,1319.75,Open
INV-2025-0025,Ironwood Joinery,2025-02-27,3748.99,Open
INV-2025-0029,Fernhill Landscaping,2025-02-27,3633.99,Open
INV-2025-0027,Acme Interiors,2025-03-03,5318.50,Open
INV-2025-0050,Delta Fabrication,2025-03-08,1440.00,Open
INV-2025-0042,Harbor & Sons Plumbing,2025-03-12,203.99,Open
INV-2025-0046,Corewave Media,2025-03-13,6276.00,Open
INV-2025-0045,Northbay Catering,2025-03-16,8467.75,Open
INV-2025-0041,Bluepeak Consulting,2025-03-17,4958.50,Open
INV-2025-0048,Harbor & Sons Plumbing,2025-03-17,469.00,Open
INV-2025-0049,Orchid Wellness,2025-03-18,5188.00,Open
INV-2025-0053,Ironwood Joinery,2025-03-22,2855.25,Open
INV-2025-0044,Orchid Wellness,2025-03-23,1893.99,Open
INV-2025-0054,Northbay Catering,2025-03-23,7082.00,Open
INV-2025-0040,Maplewood Property,2025-03-24,4521.99,Open
INV-2025-0047,Maplewood Property,2025-03-24,159.75,Open
INV-2025-0055,Maplewood Property,2025-03-24,3445.99,Open
INV-2025-0038,Harbor & Sons Plumbing,2025-03-26,4269.75,Open
INV-2025-0043,Eastgate Clinic,2025-03-30,8351.00,Open
INV-2025-0051,Harbor & Sons Plumbing,2025-03-30,1283.75,Open
INV-2025-0052,Corewave Media,2025-03-31,2253.99,Open
INV-2025-0039,Acme Interiors,2025-04-03,2026.99,Open
INV-2025-0062,Northbay Catering,2025-04-07,5563.00,Open
INV-2025-0069,Kestrel Logistics,2025-04-07,1762.00,Open
INV-2025-0067,Bluepeak Consulting,2025-04-09,7212.25,Open
INV-2025-0058,Bluepeak Consulting,2025-04-13,5689.00,Open
INV-2025-0060,Acme Interiors,2025-04-13,1313.99,Open
INV-2025-0071,Delta Fabrication,2025-04-13,3266.75,Open
INV-2025-0056,Kestrel Logistics,2025-04-18,6268.50,Open
INV-2025-0070,Lumen Marketing,2025-04-18,5709.00,Open
INV-2025-0068,Gridline Electrical,2025-04-19,7801.99,Open
INV-2025-0072,Corewave Media,2025-04-20,7062.00,Open
INV-2025-0064,Delta Fabrication,2025-04-21,2317.99,Open
INV-2025-0057,Harbor & Sons Plumbing,2025-04-22,2132.00,Open
INV-2025-0063,Delta Fabrication,2025-04-22,4712.99,Open
INV-2025-0059,Ironwood Joinery,2025-04-24,3920.75,Open
INV-2025-0065,Juniper Design Co,2025-04-24,7894.00,Open
INV-2025-0061,Acme Interiors,2025-04-26,3900.00,Open
INV-2025-0066,Harbor & Sons Plumbing,2025-05-01,6819.00,Open
INV-2025-0088,Orchid Wellness,2025-05-09,4183.75,Open
INV-2025-0082,Eastgate Clinic,2025-05-12,3716.00,Open
INV-2025-0084,Acme Interiors,2025-05-16,971.75,Open
INV-2025-0079,Acme Interiors,2025-05-18,6546.25,Open
INV-2025-0077,Harbor & Sons Plumbing,2025-05-19,8036.00,Open
INV-2025-0081,Lumen Marketing,2025-05-19,8123.00,Open
INV-2025-0073,Delta Fabrication,2025-05-20,1385.50,Open
INV-2025-0085,Ironwood Joinery,2025-05-21,2729.00,Open
INV-2025-0086,Bluepeak Consulting,2025-05-22,3194.00,Open
INV-2025-0083,Lumen Marketing,2025-05-24,1148.99,Open
INV-2025-0087,Bluepeak Consulting,2025-05-25,4003.50,Open
INV-2025-0089,Acme Interiors,2025-05-25,1493.50,Open
INV-2025-0075,Ironwood Joinery,2025-05-26,391.00,Open
INV-2025-0076,Northbay Catering,2025-05-30,4022.00,Open
INV-2025-0074,Northbay Catering,2025-05-31,1754.00,Open
INV-2025-0080,Maplewood Property,2025-05-31,7604.25,Open
INV-2025-0078,Gridline Electrical,2025-06-02,1110.00,Open
INV-2025-0109,Fernhill Landscaping,2025-06-05,2293.99,Open
INV-2025-0102,Orchid Wellness,2025-06-08,2350.25,Open
INV-2025-0103,Orchid Wellness,2025-06-08,1903.99,Open
INV-2025-0097,Orchid Wellness,2025-06-09,5868.00,Open
INV-2025-0091,Kestrel Logistics,2025-06-11,5297.00,Open
