category,repository,priority,verdict,LedgerMatch use
Agent / multi-agent / computer-use / orchestration,https://github.com/skalesapp/skales.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/langgenius/dify.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/aaif-goose/goose.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/camel-ai/owl.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/camel-ai/camel.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/OpenHands/OpenHands.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/FoundationAgents/OpenManus.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/NousResearch/hermes-agent.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/code-yeongyu/oh-my-openagent.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/2FastLabs/agent-squad.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/mco-org/squad.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/eigent-ai/eigent.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/Panniantong/Agent-Reach.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/alibaba/page-agent.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
Agent / multi-agent / computer-use / orchestration,https://github.com/kagent-dev/kagent.git,P4,Do not adopt runtime,Borrow plan-review-verify process patterns only; agents must not decide financial matches.
