Date,Description,Amount
2025-01-14,CARD PURCHASE OFFICEMART,-3570.00
2025-01-15,PAYMENT RECEIVED IRONWOOD JOINERY INV20250015,4953.99
2025-01-15,RENT STANDING ORDER,-919.25
2025-01-18,BANK TRANSFER INV20250005 DELTA FABRICATION,8429.75
2025-01-20,PAYMENT RECEIVED COREWAVE MEDIA INV20250002,1829.99
2025-01-22,EFT HARBOR & SONS PLUMBING,6127.00
2025-01-22,PAYROLL RUN,-1728.00
2025-01-24,ACH CREDIT LUMEN MARKETING REF INV20250017,1289.00
2025-01-25,UTILITY DIRECT DEBIT,-2609.50
2025-02-02,IRONWOOD JOINERY PAYMENT,3407.99
2025-02-07,PAYMENT RECEIVED ORCHID WELLNESS INV20250003,1574.75
2025-02-08,ACH CREDIT MAPLEWOOD PROPERTY REF INV20250011,5664.00
2025-02-10,TRANSFER FROM LUMEN MARKETING,7023.00
2025-02-10,ORCHID WELLNESS PAYMENT,6075.75
2025-02-11,REMITTANCE INV20250012,1734.25
2025-02-15,PART PAYMENT JUNIPER DESIGN CO INV20250008,2588.85
2025-02-17,REMITTANCE INV20250004,638.00
2025-02-17,CARD PURCHASE OFFICEMART,-705.00
2025-02-21,REMITTANCE INV20250010,4702.00
2025-02-21,BANK TRANSFER INV20250014 HARBOR & SONS PLUMBING,2195.50
2025-02-21,CARD PURCHASE OFFICEMART,-1162.99
2025-02-23,ACH CREDIT BLUEPEAK CONSULTING REF INV20250028,3606.75
2025-02-24,TRANSFER FROM ACME INTERIORS,4656.00
2025-02-24,PAYROLL RUN,-402.50
2025-02-24,BANK INTEREST,216.00
2025-02-26,RENT STANDING ORDER,-3186.75
2025-02-26,FUEL STATION,-1888.99
2025-02-27,SOFTWARE SUBSCRIPTION,-3975.00
2025-03-06,REMITTANCE INV20250036,2771.99
2025-03-06,SOFTWARE SUBSCRIPTION,-3827.99
2025-03-06,SOFTWARE SUBSCRIPTION,-3420.50
2025-03-07,BANK INTEREST,43.99
2025-03-08,EFT FERNHILL LANDSCAPING,4483.00
2025-03-10,NEFT DELTA FABRICATION INV20250019,1804.50
2025-03-10,FUEL STATION,-1171.75
2025-03-12,BANK TRANSFER INV20250025 IRONWOOD JOINERY,3748.99
2025-03-12,SOFTWARE SUBSCRIPTION,-533.00
